row,id
1892,28296
1893,8664
1894,16884
1895,28402
1896,28363
1897,23740
1898,51680
1899,48195
1900,8614
1901,21346
1902,23785
1903,23756
1904,28167
1905,38194
1906,28172
1907,38175
1908,51722
1909,16960
1910,30667
1911,8707
1912,8689
1913,51294
1914,8701
1915,38228
1916,30581
1917,51686
1918,23718
1919,30570
1920,51724
1921,8687
1922,30566
1923,17327
1924,28165
1925,49663
1926,28395
1927,40173
1928,21306
1929,29125
1930,28175
1931,40178
1932,23696
1933,30681
1934,16105
1935,23731
1936,41518
1937,21273
1938,16875
1939,51710
1940,28158
1941,16081
1942,16083
1943,38313
1944,21279
1945,28393
1946,30663
1947,51667
1948,21353
1949,17219
1950,16936
1951,17314
1952,48206
1953,17322
1954,17605
1955,38159
1956,39996
1957,29879
1958,48213
1959,28417
1960,16955
1961,16942
1962,29871
1963,21342
1964,28204
1965,49675
1966,30270
1967,29862
1968,21284
1969,16856
1970,51704
1971,17597
1972,28193
1973,51685
1974,28297
1975,29126
1976,58547
1977,23734
1978,41517
1979,38164
1980,40181
1981,51695
1982,28396
1983,17213
1984,40176
1985,23762
1986,28157
1987,48235
1988,51671
1989,8641
1990,39995
1991,50209
1992,30559
1993,16896
1994,17323
1995,8675
1996,17312
1997,17332
1998,49679
1999,23739
